n_branches,experiment_mean,experiment_sd,experiment_sem,experiment_n,simulation_mean,simulation_sd,simulation_sem,simulation_n
211.60730593607306,,,,,0.05344445387138819,0.011566909126341894,0.011566909126341894,1
214.34246575342468,,,,,0.05104156947151171,0.011084084677161484,0.011084084677161484,1
217.07762557077626,,,,,0.04822310328472116,0.010507204994542472,0.010507204994542472,1
219.81278538812785,,,,,0.04554444004273818,0.009956777133434605,0.009956777133434605,1
222.54794520547946,,,,,0.04345142005438249,0.009530900341864663,0.009530900341864663,1
225.0,0.04237831097351221,0.07286359174659647,0.02304149084198911,10,,,,
225.28310502283105,,,,,0.04230959545925713,0.00931130515010016,0.00931130515010016,1
228.01826484018267,,,,,0.041732883416341696,0.009214823923513835,0.009214823923513835,1
230.75342465753425,,,,,0.04128296660393895,0.00914559090299864,0.00914559090299864,1
233.48858447488587,,,,,0.040917597198117356,0.009094493378339305,0.009094493378339305,1
236.22374429223746,,,,,0.040596612568460824,0.009052760364687898,0.009052760364687898,1
238.95890410958904,,,,,0.040281316178568345,0.009011831700603616,0.009011831700603616,1
241.69406392694066,,,,,0.03993423973127797,0.008963310007800549,0.008963310007800549,1
243.0,0.039746732026143795,0.07386453451326948,0.023358016737004828,10,,,,
244.42922374429224,,,,,0.039514197700093144,0.008897851544204841,0.008897851544204841,1
247.16438356164386,,,,,0.038995790274201164,0.008809558567771407,0.008809558567771407,1
249.89954337899545,,,,,0.038431650280371606,0.00871014453989042,0.00871014453989042,1
252.63470319634703,,,,,0.03787940153852236,0.008612611276814203,0.008612611276814203,1
255.36986301369865,,,,,0.03739348726709545,0.008529403221669313,0.008529403221669313,1
258.10502283105023,,,,,0.037025730066838056,0.008472523985157434,0.008472523985157434,1
260.8401826484018,,,,,0.03682664130348569,0.008453827366938612,0.008453827366938612,1
262.0,0.03680555555555556,0.07479717946256767,0.023652944965808283,10,,,,
263.57534246575347,,,,,0.03680555555555556,0.008475832064941654,0.008475832064941654,1
266.31050228310505,,,,,0.03680555555555556,0.008502677152037882,0.008502677152037882,1
269.04566210045664,,,,,0.03680555555555556,0.008529522239134111,0.008529522239134111,1
271.7808219178082,,,,,0.03680555555555556,0.00855636732623034,0.00855636732623034,1
274.5159817351598,,,,,0.03680555555555556,0.008583212413326569,0.008583212413326569,1
277.25114155251146,,,,,0.03680555555555556,0.008610057500422798,0.008610057500422798,1
279.98630136986304,,,,,0.03680555555555556,0.008636902587519027,0.008636902587519027,1
282.72146118721463,,,,,0.03680555555555556,0.008663747674615254,0.008663747674615254,1
284.0,0.03680555555555556,0.07479717946256767,0.023652944965808283,10,,,,
285.4566210045662,,,,,0.03680555555555556,0.008690592761711484,0.008690592761711484,1
288.1917808219178,,,,,0.03680555555555556,0.008717437848807711,0.008717437848807711,1
290.92694063926945,,,,,0.03680555555555556,0.00874428293590394,0.00874428293590394,1
