id_rama,id_rama_padre,generacion,n_puntas,x_creacion,y_creacion,paso_creacion,x_dendro,y_dendro
237,232,43,1,218.39642479372958,0.9602876412259305,409,31.0,-43.0
238,237,44,1,219.05373815546508,0.20667026849361325,411,31.0,-44.0
239,234,49,1,220.8357253356554,21.36836120707858,418,35.0,-49.0
240,236,49,1,203.4257770986756,129.72649753416124,453,48.75,-49.0
241,236,49,1,202.0083080913859,133.5500792844986,454,52.0,-49.0
242,240,50,1,217.44033675834714,133.44407024701943,455,46.5,-50.0
243,240,50,1,216.4346407586115,123.03582506491067,458,51.0,-50.0
244,231,48,1,278.47203849738395,94.46901804469877,468,39.25,-48.0
245,244,49,1,274.17666194847425,95.18507705788029,471,39.25,-49.0
246,242,51,1,241.12742194115899,133.3369621672793,473,43.5,-51.0
247,243,51,1,215.7411872636307,117.92619950505674,473,51.0,-51.0
248,245,50,1,272.2060928362551,95.71828481939642,473,39.25,-50.0
249,242,51,1,234.2304773012253,141.63739472857733,474,49.5,-51.0
250,247,52,1,216.62946820873861,114.09971924826891,477,51.0,-52.0
251,248,51,1,265.0777702454721,96.33422531465492,477,39.25,-51.0
252,251,52,1,259.0517490906957,100.02145982539787,485,38.5,-52.0
253,251,52,1,258.48394624366216,110.67363149849147,486,40.0,-52.0
254,249,52,1,240.2793993423981,140.51787373546853,492,49.5,-52.0
255,252,53,1,250.6789688192631,103.31419598039652,492,38.0,-53.0
256,252,53,1,253.76090441674066,105.69000715732922,493,39.0,-53.0
257,254,53,1,244.89739383004655,138.83966054090817,498,49.5,-53.0
258,246,52,1,248.94777635476592,135.82902344695898,500,43.5,-52.0
259,256,54,1,248.65486457873743,104.93476120285546,500,39.0,-54.0
260,253,53,1,259.6716424353315,115.70127496158761,501,40.0,-53.0
261,257,54,1,247.6947845685993,140.8044826556021,501,49.0,-54.0
262,255,54,1,247.33095688202664,108.04839577950783,502,38.0,-54.0
263,257,54,1,254.38110037934138,138.01042581245724,504,50.0,-54.0
264,259,55,1,240.96003592747695,107.3840075777479,504,39.0,-55.0
265,260,54,1,234.38385941829546,127.21768006016809,506,40.0,-54.0
266,258,53,1,253.9978327941133,135.25040706237073,508,42.0,-53.0
267,258,53,1,253.9199674284602,132.7080603370999,509,45.0,-53.0
268,264,56,1,220.9630325811078,105.20346868905693,513,39.0,-56.0
269,267,54,1,255.5373714855845,126.84401237509721,513,43.0,-54.0
270,267,54,1,259.91467359982374,127.49200830717369,515,47.0,-54.0
271,269,55,1,256.8461375530332,121.96685899192235,520,43.0,-55.0
272,270,55,1,260.20430947433937,122.38884537319548,522,47.0,-55.0
273,271,56,1,256.0858469661666,116.95803338528428,525,43.0,-56.0
274,272,56,1,255.85390816779702,120.10508640209906,526,46.0,-56.0
275,272,56,1,256.6386467394628,118.47212108511123,527,48.0,-56.0
276,274,57,1,257.9236563331651,117.76701664836486,527,45.0,-57.0
277,276,58,1,255.47935880095275,117.84835915749886,528,44.0,-58.0
278,274,57,1,250.95675927103707,118.70587857468962,531,47.0,-57.0
279,276,58,1,257.77125805878154,114.1207587518852,531,45.0,-58.0
280,276,58,1,260.66450872141695,112.5165576954029,533,46.0,-58.0
281,278,58,1,245.81327210260594,114.39446268207996,533,47.0,-58.0
282,279,59,1,260.0604136838333,111.13804539665787,534,45.0,-59.0
283,265,55,1,219.61592546128477,119.8660766141362,535,40.0,-55.0
284,283,56,1,225.56024006422706,129.22226985648896,537,40.0,-56.0
285,281,59,1,240.9114611963679,115.18127168454845,543,47.0,-59.0
286,285,60,1,240.35289176189275,119.92137283321739,546,47.0,-60.0
287,286,61,1,242.89869307485534,123.36137368282411,548,47.0,-61.0
288,287,62,1,246.84862995182291,126.69977792092807,554,47.0,-62.0
289,288,63,1,249.55236410444218,124.45810216197731,556,47.0,-63.0
