times_used,z_from_front,barw_active_raw_norm,barw_active_norm,barw_active_sem_norm,pde_active_norm,barw_duct_raw_norm,barw_duct_norm,barw_duct_sem_norm,pde_inactive_norm,n_samples_active,n_samples_duct
140;180;220;260;300,-26.0,0.0,0.035759803668129114,0.0,0.07856164431873641,0.8214804063860668,0.9633885778473967,0.09339136840485956,0.8604213009722695,115,106
140;180;220;260;300,-24.0,0.010744627686156923,0.045182613883297564,0.06284050763956907,0.10333131454101603,0.711901306240929,0.940033722511065,0.0663764999312979,0.8213660314204961,116,106
140;180;220;260;300,-22.0,0.0,0.06114082928331405,0.0,0.13538933443478957,0.772027972027972,0.9157393345153574,0.06729813482356221,0.7733404981260638,11,110
140;180;220;260;300,-20.0,0.0,0.08633073833517244,0.0,0.17649817578149835,0.7253655435473617,0.8938479182080314,0.06754936195510576,0.7156203310378587,108,121
140;180;220;260;300,-18.0,0.005236877359639508,0.12457717696164168,0.04350430241698146,0.22856817684555658,0.6260683760683761,0.8763404261287235,0.05235023471004874,0.6481924068467609,119,108
140;180;220;260;300,-16.0,0.015579710144927537,0.18039881031182495,0.07409314032817893,0.29344864143167754,0.6876254180602006,0.8629746264415299,0.05940313660756228,0.5721071416652902,120,115
140;180;220;260;300,-14.0,0.015579710144927537,0.25796694168471834,0.07409314032817894,0.37253740439045996,0.7257834757834757,0.8511042744544697,0.07224260396507982,0.4897288474396061,120,108
140;180;220;260;300,-12.0,0.005066572404854483,0.359302506737734,0.042089528354640596,0.466146581980488,0.8033381712626997,0.8360776598416898,0.09192434899082635,0.40471715983072853,123,106
140;180;220;260;300,-10.0,0.015077138849929873,0.482347618682123,0.09305196204126234,0.5726027679759051,0.6923076923076923,0.811991902793274,0.07401402669769308,0.32160721530582587,124,106
140;180;220;260;300,-8.0,0.0,0.619388568464021,0.0,0.6871765189507288,0.6566433566433568,0.7727326254780078,0.06435754240631651,0.24500750675350844,4,110
140;180;220;260;300,-6.0,0.01030063480656366,0.7569057026703357,0.0855704460763768,0.801155884553281,0.7151938970120789,0.7134572227948327,0.06692780687216174,0.1786510918507496,121,121
140;180;220;260;300,-4.0,0.0197837589141937,0.877382416134461,0.08118270726549115,0.9016653640128066,0.7172364672364673,0.6324374546989692,0.0726149360555553,0.12466874226095706,126,108
140;180;220;260;300,-2.0,0.024343297101449276,0.9629586781304721,0.08900305181559633,0.973004392497552,0.7317725752508363,0.5326657588644299,0.06896768981777143,0.08337046510236021,128,115
140;180;220;260;300,0.0,1.0,1.0,0.3881864475713552,1.0,0.3119658119658121,0.42213933153107347,0.035885975369327264,0.053560610716164594,129,108
