segment_id,seed,x0,y0,x1,y1,branch_id
34,1000,30.29750849282227,68.36939646628255,30.74775889575488,67.47649413418848,1
35,1000,30.74775889575488,67.47649413418848,31.267975236336497,66.62245961557002,1
36,1000,31.267975236336497,66.62245961557002,31.54536443343932,65.66170198050764,1
37,1000,31.267975236336497,66.62245961557002,31.027822510231722,65.65172449817473,2
38,1000,31.027822510231722,65.65172449817473,31.041961978834934,64.65182446545765,2
39,1000,31.041961978834934,64.65182446545765,30.894463973728087,63.662762112271814,2
40,1000,30.894463973728087,63.662762112271814,30.9886246126756,62.66720509528434,2
41,1000,30.9886246126756,62.66720509528434,30.890295542401596,61.6720511403914,2
42,1000,30.890295542401596,61.6720511403914,30.901758826005512,60.67211684598551,2
43,1000,30.901758826005512,60.67211684598551,30.871797804193733,59.67256577816956,2
44,1000,30.871797804193733,59.67256577816956,30.86046150176953,58.672630036110434,2
45,1000,30.86046150176953,58.672630036110434,31.035441541281568,57.688058055109366,2
46,1000,31.035441541281568,57.688058055109366,31.430409523040463,56.76936316920583,2
47,1000,31.430409523040463,56.76936316920583,31.735713133594427,55.81710810600968,2
48,1000,31.735713133594427,55.81710810600968,31.904156271549887,54.83139673381408,2
49,1000,31.904156271549887,54.83139673381408,32.03560827683957,53.84007419785249,2
50,1000,32.03560827683957,53.84007419785249,32.20865368473162,52.855160350448834,2
51,1000,32.20865368473162,52.855160350448834,32.30911101915646,51.860218983352134,2
52,1000,32.30911101915646,51.860218983352134,32.65852898734835,50.923252023686715,2
53,1000,32.65852898734835,50.923252023686715,32.796797175604866,49.93285719932813,2
54,1000,32.796797175604866,49.93285719932813,32.77919061979477,48.93301220674553,2
55,1000,32.77919061979477,48.93301220674553,32.55761384887334,47.95786927640761,2
56,1000,32.55761384887334,47.95786927640761,32.31879842027359,46.9868042986318,2
57,1000,32.31879842027359,46.9868042986318,32.109067126257514,46.009045236126966,2
58,1000,32.109067126257514,46.009045236126966,32.07247427974242,45.0097149786125,2
59,1000,32.07247427974242,45.0097149786125,32.12088256495834,44.010887346874945,2
60,1000,32.07247427974242,45.0097149786125,32.61381090036183,44.16890901813389,3
61,1000,32.61381090036183,44.16890901813389,33.08077971709753,43.284635234627636,3
62,1000,33.08077971709753,43.284635234627636,33.281988556323,42.30508686776792,3
63,1000,33.281988556323,42.30508686776792,33.278041603968234,41.3050946570147,3
64,1000,33.278041603968234,41.3050946570147,33.38674112684961,40.31102000502655,3
65,1000,33.38674112684961,40.31102000502655,33.23177617958214,39.32310003604202,3
66,1000,33.38674112684961,40.31102000502655,33.74649753031213,39.37797374134628,4
67,1000,33.74649753031213,39.37797374134628,34.25917409975041,38.51939192512315,4
68,1000,34.25917409975041,38.51939192512315,34.865045738568156,37.72382950942197,4
69,1000,34.865045738568156,37.72382950942197,35.58898258615692,37.0339632610062,4
70,1000,35.58898258615692,37.0339632610062,36.29959816768317,36.33038277855085,4
71,1000,36.29959816768317,36.33038277855085,37.04762952830551,35.66671939736616,4
72,1000,37.04762952830551,35.66671939736616,37.91087996259437,35.16194351868326,4
73,1000,37.91087996259437,35.16194351868326,38.734792915807475,34.59522714735836,4
74,1000,38.734792915807475,34.59522714735836,39.61438646207828,34.119501182796036,4
75,1000,39.61438646207828,34.119501182796036,40.45317602255857,33.57504542405225,4
76,1000,40.45317602255857,33.57504542405225,41.3462342428606,33.12510429995823,4
