time,x,active_density,inactive_density
2.0,16.5,0.0005978133813968664,3.05903741957375e-05
2.0,18.0,9.580785390934278e-05,3.772424034955461e-06
2.0,19.5,1.1440439076466421e-05,3.5401224066796505e-07
2.0,21.0,1.018756609010432e-06,2.5259013625840278e-08
2.0,22.5,6.770590186103974e-08,1.3675016876472123e-09
2.0,24.0,3.3604026996598866e-09,5.6063942240618826e-11
2.0,25.5,1.246118748826547e-10,1.7374434822349198e-12
2.0,27.0,3.453158816589231e-12,4.063408477112924e-14
2.0,28.5,7.150191387780261e-14,7.159858612301481e-16
2.0,30.0,1.1057745493461292e-15,9.488249930441247e-18
2.0,31.5,1.2761360242429164e-17,9.438017059839445e-20
2.0,33.0,1.0976264517676662e-19,7.030902351125239e-22
2.0,34.5,7.023938590334493e-22,3.9124396091662935e-24
2.0,36.0,3.336543245387935e-24,1.621374308993551e-26
2.0,37.5,1.1732471455292117e-26,4.9866657611126227e-29
2.0,39.0,3.043668802780114e-29,1.13370522518993e-31
2.0,40.5,5.802266064076696e-32,1.8966442458524778e-34
2.0,42.0,8.090854291892916e-35,2.322981990543356e-37
2.0,43.5,8.209336502485924e-38,2.0710482202438852e-40
2.0,45.0,6.025130904133868e-41,1.3355178095527698e-43
2.0,46.5,3.1775919888236414e-44,6.185391652666179e-47
2.0,48.0,1.1954415195858274e-47,2.0417063433873754e-50
2.0,49.5,3.1825804439034255e-51,4.7630571669777624e-54
2.0,51.0,5.9439546753469154e-55,7.782432045035526e-58
2.0,52.5,7.715315636705121e-59,8.820173088586598e-62
2.0,54.0,6.890997159783864e-63,6.862944903177426e-66
2.0,55.5,4.190693833298728e-67,3.6268311116956936e-70
2.0,57.0,1.716259786553453e-71,1.28720887136752e-74
2.0,58.5,4.679804730993848e-76,3.0328653595371136e-79
2.0,60.0,8.397767874826578e-81,4.688436662909896e-84
2.0,61.5,9.801323447007393e-86,4.699314895902488e-89
2.0,63.0,7.353568100435875e-91,3.0183628090180256e-94
2.0,64.5,3.5058510178972175e-96,1.228124377675392e-99
2.0,66.0,1.0502851596721387e-101,3.1305437810151144e-105
2.0,67.5,1.9560653805909158e-107,4.946556635096248e-111
2.0,69.0,2.2419458145884467e-113,4.796964663740296e-117
2.0,70.5,1.5665198660692544e-119,2.8287674101377087e-123
2.0,72.0,6.615274137512808e-126,1.0058162907453005e-129
2.0,73.5,1.675087111268886e-132,2.139945597762844e-136
2.0,75.0,2.525394036908848e-139,2.7056399455573135e-143
2.0,76.5,2.25262644311398e-146,2.0205986891400045e-150
2.0,78.0,1.1822519959349684e-153,8.865726344612379e-158
2.0,79.5,3.633204184662806e-161,2.2748529700404837e-165
2.0,81.0,6.510388399487313e-169,3.399780625073497e-173
2.0,82.5,6.777869867378155e-177,2.9492160370576157e-181
2.0,84.0,4.0870182437392187e-185,1.4806016574989794e-189
2.0,85.5,1.4236517843340264e-193,4.290968448135787e-198
2.0,87.0,2.8583494084428106e-202,7.163646056949475e-207
2.0,88.5,3.3015809236670165e-211,6.876933988990221e-216
2.0,90.0,2.1904509161863402e-220,3.7903665423976674e-225
2.0,91.5,8.336239652627585e-230,1.1979595120313932e-234
2.0,93.0,1.8177987842142488e-239,2.1687822897907996e-244
2.0,94.5,2.2690996902448115e-249,2.247069566003382e-254
2.0,96.0,1.6201439720051296e-259,1.3314391725067075e-264
2.0,97.5,6.612448442856628e-270,4.508804461960332e-275
2.0,99.0,1.5418540080571095e-280,8.72192981394557e-286
2.0,100.5,2.053050435177551e-291,9.633592670640764e-297
2.0,102.0,1.5605136872955523e-302,6.073418757336461e-308
2.0,103.5,6.7687881435e-314,2.18486e-319
2.0,105.0,0.0,0.0
2.0,106.5,0.0,0.0
2.0,108.0,0.0,0.0
2.0,109.5,0.0,0.0
2.0,111.0,0.0,0.0
2.0,112.5,0.0,0.0
2.0,114.0,0.0,0.0
2.0,115.5,0.0,0.0
2.0,117.0,0.0,0.0
2.0,118.5,0.0,0.0
2.0,120.0,0.0,0.0
2.0,121.5,0.0,0.0
2.0,123.0,0.0,0.0
2.0,124.5,0.0,0.0
2.0,126.0,0.0,0.0
2.0,127.5,0.0,0.0
2.0,129.0,0.0,0.0
2.0,130.5,0.0,0.0
2.0,132.0,0.0,0.0
2.0,133.5,0.0,0.0
2.0,135.0,0.0,0.0
2.0,136.5,0.0,0.0
2.0,138.0,0.0,0.0
2.0,139.5,0.0,0.0
2.0,141.0,0.0,0.0
2.0,142.5,0.0,0.0
2.0,144.0,0.0,0.0
2.0,145.5,0.0,0.0
2.0,147.0,0.0,0.0
2.0,148.5,0.0,0.0
2.0,150.0,0.0,0.0
2.0,151.5,0.0,0.0
2.0,153.0,0.0,0.0
2.0,154.5,0.0,0.0
2.0,156.0,0.0,0.0
2.0,157.5,0.0,0.0
2.0,159.0,0.0,0.0
2.0,160.5,0.0,0.0
2.0,162.0,0.0,0.0
2.0,163.5,0.0,0.0
2.0,165.0,0.0,0.0
2.0,166.5,0.0,0.0
2.0,168.0,0.0,0.0
2.0,169.5,0.0,0.0
2.0,171.0,0.0,0.0
2.0,172.5,0.0,0.0
2.0,174.0,0.0,0.0
2.0,175.5,0.0,0.0
2.0,177.0,0.0,0.0
2.0,178.5,0.0,0.0
2.0,180.0,0.0,0.0
2.0,181.5,0.0,0.0
2.0,183.0,0.0,0.0
2.0,184.5,0.0,0.0
2.0,186.0,0.0,0.0
2.0,187.5,0.0,0.0
2.0,189.0,0.0,0.0
2.0,190.5,0.0,0.0
2.0,192.0,0.0,0.0
2.0,193.5,0.0,0.0
2.0,195.0,0.0,0.0
2.0,196.5,0.0,0.0
2.0,198.0,0.0,0.0
2.0,199.5,0.0,0.0
2.0,201.0,0.0,0.0
2.0,202.5,0.0,0.0
2.0,204.0,0.0,0.0
2.0,205.5,0.0,0.0
2.0,207.0,0.0,0.0
2.0,208.5,0.0,0.0
2.0,210.0,0.0,0.0
2.0,211.5,0.0,0.0
2.0,213.0,0.0,0.0
2.0,214.5,0.0,0.0
2.0,216.0,0.0,0.0
2.0,217.5,0.0,0.0
2.0,219.0,0.0,0.0
2.0,220.5,0.0,0.0
2.0,222.0,0.0,0.0
2.0,223.5,0.0,0.0
2.0,225.0,0.0,0.0
2.0,226.5,0.0,0.0
2.0,228.0,0.0,0.0
2.0,229.5,0.0,0.0
2.0,231.0,0.0,0.0
2.0,232.5,0.0,0.0
2.0,234.0,0.0,0.0
2.0,235.5,0.0,0.0
2.0,237.0,0.0,0.0
2.0,238.5,0.0,0.0
2.0,240.0,0.0,0.0
2.0,241.5,0.0,0.0
2.0,243.0,0.0,0.0
2.0,244.5,0.0,0.0
2.0,246.0,0.0,0.0
2.0,247.5,0.0,0.0
2.0,249.0,0.0,0.0
2.0,250.5,0.0,0.0
2.0,252.0,0.0,0.0
2.0,253.5,0.0,0.0
2.0,255.0,0.0,0.0
2.0,256.5,0.0,0.0
2.0,258.0,0.0,0.0
2.0,259.5,0.0,0.0
2.0,261.0,0.0,0.0
2.0,262.5,0.0,0.0
2.0,264.0,0.0,0.0
2.0,265.5,0.0,0.0
2.0,267.0,0.0,0.0
2.0,268.5,0.0,0.0
2.0,270.0,0.0,0.0
2.0,271.5,0.0,0.0
2.0,273.0,0.0,0.0
2.0,274.5,0.0,0.0
2.0,276.0,0.0,0.0
2.0,277.5,0.0,0.0
2.0,279.0,0.0,0.0
3.0,0.0,0.004578444064701381,0.00036867506627792835
3.0,1.5,0.007899259806070974,0.00081689654863385
3.0,3.0,0.01859382666178973,0.0026212166824204648
3.0,4.5,0.03661024682520363,0.006720563380905154
3.0,6.0,0.05692104991873861,0.012739862596279678
3.0,7.5,0.06957169010252992,0.017185444048478382
3.0,9.0,0.06683430470391728,0.01617952299876388
3.0,10.5,0.05045984401078532,0.01067363636946785
3.0,12.0,0.02993662959860324,0.005064727398173509
3.0,13.5,0.01395683135227108,0.0017985131679695112
3.0,15.0,0.005115075713374638,0.0004965572084092744
3.0,16.5,0.0014745069659559402,0.00010920271522771957
3.0,18.0,0.0003345497936679379,1.9303613363780164e-05
3.0,19.5,5.9785884635573255e-05,2.744575434566683e-06
3.0,21.0,8.421103715296472e-06,3.132884656331984e-07
3.0,22.5,9.355677721453118e-07,2.8653994493262164e-08
3.0,24.0,8.203620049208894e-08,2.0964502556038606e-09
3.0,25.5,5.680954507105226e-09,1.225372029765566e-10
3.0,27.0,3.108459751105344e-10,5.71554891508775e-12
3.0,28.5,1.3444641008799335e-11,2.1253758821823588e-13
3.0,30.0,4.597719821103791e-13,6.295182757746245e-15
3.0,31.5,1.2432560153056133e-14,1.4838170303931047e-16
3.0,33.0,2.6579950768017503e-16,2.7805447311075687e-18
3.0,34.5,4.491371955551191e-18,4.137971891248354e-20
3.0,36.0,5.994953370045059e-20,4.884474426725394e-22
3.0,37.5,6.315540570587024e-22,4.5667022326419385e-24
3.0,39.0,5.24523592449092e-24,3.376185096974091e-26
3.0,40.5,3.429474890129328e-26,1.9699758221257934e-28
3.0,42.0,1.7621130180935105e-28,9.05219829293295e-31
3.0,43.5,7.100132745408357e-31,3.267499181603382e-33
3.0,45.0,2.2379311524986814e-33,9.238572486471579e-36
3.0,46.5,5.502036170663139e-36,2.039480609303991e-38
3.0,48.0,1.0516305625795802e-38,3.5025345550371766e-41
3.0,49.5,1.556824151988157e-41,4.660466098085323e-44
3.0,51.0,1.7775510256854455e-44,4.782962889634819e-47
3.0,52.5,1.5579911609168488e-47,3.7671274118798726e-50
3.0,54.0,1.0427873803886899e-50,2.2644877399107223e-53
3.0,55.5,5.299118700031652e-54,1.0326195789618003e-56
3.0,57.0,2.031554557674205e-57,3.5484423322479635e-60
3.0,58.5,5.8351268333042246e-61,9.122621692095245e-64
3.0,60.0,1.2461777007829742e-64,1.7409068810088067e-67
3.0,61.5,1.962690921087572e-68,2.445229883278594e-71
3.0,63.0,2.2595363171453006e-72,2.5048820734001277e-75
3.0,64.5,1.883446284333674e-76,1.853251574153214e-79
3.0,66.0,1.125242951566466e-80,9.800387253511035e-84
3.0,67.5,4.766752783282662e-85,3.6638195336304053e-88
3.0,69.0,1.4156467486931636e-89,9.57159812528813e-93
3.0,70.5,2.9126599268785206e-94,1.7264634509700833e-97
3.0,72.0,4.100931916172844e-99,2.123433832451085e-102
3.0,73.5,3.901585591956558e-104,1.758263825674567e-107
3.0,75.0,2.4761623527484815e-109,9.675516089731755e-113
3.0,76.5,1.0348480089423484e-114,3.492833293462222e-118
3.0,78.0,2.8115535146391222e-120,8.166188731192823e-124
3.0,79.5,4.9034626179666017e-126,1.2210885251543741e-129
3.0,81.0,5.4228751236585e-132,1.1537186268601282e-135
3.0,82.5,3.758734943379533e-138,6.808746973065075e-142
3.0,84.0,1.6148790393874736e-144,2.482789790622538e-148
3.0,85.5,4.256511529340095e-151,5.5379538510428256e-155
3.0,87.0,6.8182174716042465e-158,7.486733606202616e-162
3.0,88.5,6.580421693877753e-165,6.083372599119222e-169
3.0,90.0,3.7970287451189074e-172,2.9488943036424572e-176
3.0,91.5,1.3009314412199002e-179,8.471467651013464e-184
3.0,93.0,2.630594459195415e-187,1.4338849709220666e-191
3.0,94.5,3.1227971042943723e-195,1.4227316569697898e-199
3.0,96.0,2.1663629834642495e-203,8.239081896232406e-208
3.0,97.5,8.747823938377451e-212,2.7742367914775693e-216
3.0,99.0,2.049182479913357e-220,5.413980173214634e-225
3.0,100.5,2.776648955641391e-229,6.106702285544435e-234
3.0,102.0,2.1709953675737698e-238,3.971954347360251e-243
3.0,103.5,9.77454659873412e-248,1.4868143951199476e-252
3.0,105.0,2.529750500631105e-257,3.1977659656647626e-262
3.0,106.5,3.75808325951545e-267,3.94613014919536e-272
3.0,108.0,3.200587495522149e-277,2.7907824479053305e-282
3.0,109.5,1.561066835566964e-287,1.1300249144611745e-292
3.0,111.0,4.35681382767496e-298,2.6176086399625538e-303
